,Исходный датасет,Поворот на 45°,Поворот на 90°,Изображение с шумом,Яркость +50%,Яркость -50%,Размытие
VGG-Face,0.85,0.75,0.6,0.7,0.8,0.7,0.7
Facenet,0.6,0.6,0.35,0.5,0.55,0.5,0.55
Facenet512,0.35,0.35,0.3,0.35,0.35,0.35,0.35
OpenFace,0.1,0.15,0.0,0.05,0.1,0.2,0.15
DeepFace,0.3,0.15,0.0,0.05,0.6,0.15,0.35
DeepID,0.1,0.15,0.0,0.1,0.3,0.1,0.1
ArcFace,1.0,0.95,0.85,0.85,1.0,0.85,0.9
Dlib,0.65,0.75,0.6,0.6,0.65,0.55,0.55
SFace,0.65,0.6,0.35,0.3,0.5,0.6,0.6
GhostFaceNet,0.85,0.85,0.7,0.6,0.85,0.8,0.75
